Organisation Chain,Auction ID,EMD Amount,Starting Price,Submission Start Date,Submission End Date,Auction Start Date,Product Category
"Govt of Maharashtra||Revenue And Forest Department (Maharashtra)||PCCF Head of Forest Force, Maharashtra Forest Department||Office of the CCF Chandrapur||Office of the DCF Bramhapuri",2025_MH_30047,,,21-Jun-2025 09:00 AM,25-Jun-2025 02:30 PM,25-Jun-2025 02:30 PM,Firewood
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Savda,2025_MH_30010,"50,000","1,86,200",13-Jun-2025 10:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 11:00 AM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Chitrakoot,2025_UP_1588,"25,00,000","2,13,30,000",09-Jun-2025 10:00 AM,25-Jun-2025 05:00 PM,30-Jun-2025 10:00 AM,Shipping/ Transportation/ Vehicle
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1583,"1,32,945","13,29,448",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1582,"1,72,072","17,20,720",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||CEO Cannanore,2025_MoD_4008,"11,250","2,25,000",04-Jun-2025 05:00 PM,25-Jun-2025 05:00 PM,27-Jun-2025 11:00 AM,Land/Building
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1580,"9,563","95,626",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1581,"1,85,114","18,51,144",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Ministry of Defence||Directorate General Defence Estates||Eastern Command Kolkata||DEO- Jorhat,2025_MoD_3995,"3,691","36,910",30-May-2025 06:30 PM,25-Jun-2025 05:00 PM,27-Jun-2025 11:00 AM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1587,"1,62,044","16,20,436",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||CEO Cannanore,2025_MoD_4008,"11,250","2,25,000",04-Jun-2025 05:00 PM,25-Jun-2025 05:00 PM,27-Jun-2025 11:00 AM,Land/Building
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1583,"1,32,945","13,29,448",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1582,"1,72,072","17,20,720",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1580,"9,563","95,626",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Govt of Uttar Pradesh||PANCHAYATI RAJ DEPARTMENT||Zila Panchayat Prayagraj,2025_UP_1581,"1,85,114","18,51,144",09-Jun-2025 09:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 12:00 PM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Savda,2025_MH_30013,"50,000","3,32,550",13-Jun-2025 10:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 11:00 AM,Others
Govt of Maharashtra||Directorate of Municipal Admin. Maharashtra State||Municipal Administration Jalgaon District- DMA||Municipal Council Savda,2025_MH_30014,"50,000","3,97,600",13-Jun-2025 10:00 AM,25-Jun-2025 05:00 PM,27-Jun-2025 11:00 AM,Others
Govt of Uttar Pradesh||U.P. Co-operative Sugar Factories Federation Ltd.,2025_UP_1643,0.00,"3,243",25-Jun-2025 10:00 AM,25-Jun-2025 05:00 PM,30-Jun-2025 10:00 AM,Miscellaneous
Ministry of Defence||Directorate General Defence Estates||Southern Command Pune||DEO- Bhopal,2025_MoD_4025,"40,000","3,80,000",12-Jun-2025 09:00 AM,25-Jun-2025 05:30 PM,30-Jun-2025 11:00 AM,Others
